City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,cidreira,-30.1811,-50.2056,66.33,70,0,8.37,BR,1683667190
83,north bend,43.4065,-124.2243,68.23,61,0,16.11,US,1683667191
84,bokhan,53.153,103.7714,49.6,55,100,3.09,RU,1683667191
85,kenitra,34.261,-6.5802,63.36,88,2,6.69,MA,1683667192
86,idanre,7.1127,5.1159,75.74,86,98,3.24,NG,1683667193
87,klyuchi,52.2667,79.1667,53.24,48,100,11.27,RU,1683667193
88,port mathurin,-19.6833,63.4167,78.48,69,12,15.73,MU,1683667193
89,saipan,15.1355,145.701,81.3,100,0,9.22,MP,1683667194
90,pisco,-13.7,-76.2167,71.65,73,75,17.27,PE,1683667099
91,axim,4.8699,-2.2405,81.91,79,19,6.42,GH,1683667194
92,robore,-18.3333,-59.75,74.53,75,79,2.98,BO,1683667195
93,college,64.8569,-147.8028,52.12,38,100,5.75,US,1683667056
94,chibougamau,49.9168,-74.3659,55.02,21,0,14.97,CA,1683667195
95,bandarbeyla,9.4942,50.8122,82.74,76,100,6.64,SO,1683667195
96,grand island,40.925,-98.342,71.55,56,0,20.71,US,1683667196
97,stony plain,53.5334,-114.0021,67.75,59,40,3.44,CA,1683667058
98,port alfred,-33.5906,26.891,62.94,86,12,7.9,ZA,1683667201
99,la rinconada,37.4873,-5.9826,84.38,34,0,8.05,ES,1683667202
100,zinder,13.8072,8.9881,84.81,7,69,6.71,NE,1683667202
101,stanley,54.868,-1.6985,53.71,83,20,4.61,GB,1683667015
102,tiksi,71.6872,128.8694,31.77,91,70,22.12,RU,1683667202
103,noosa heads,-26.3833,153.15,60.12,73,8,14.43,AU,1683667203
104,margaret river,-33.95,115.0667,61.02,87,100,20.94,AU,1683667203
105,fale old settlement,-9.3852,-171.2468,84.38,75,27,13.71,TK,1683667203
106,westport,41.1415,-73.3579,70.29,32,0,5.75,US,1683666908
107,urangan,-25.3,152.9,60.78,70,24,12.59,AU,1683667204
108,crane,31.3974,-102.3501,93.43,17,9,16.6,US,1683667204
109,egilsstadir,65.2653,-14.3948,46.31,93,100,4.61,IS,1683667205
110,invercargill,-46.4,168.35,47.01,95,47,3.0,NZ,1683667205
111,bikaner,28.0167,73.3,84.87,19,20,8.57,IN,1683667205
112,ciacova,45.5081,21.1286,53.62,71,99,12.8,RO,1683667206
113,wailua homesteads,22.0669,-159.378,75.13,82,100,12.66,US,1683667206
114,bereeda,11.8704,51.0579,82.09,76,70,2.98,SO,1683667206
115,kirakira,-10.4544,161.9205,82.74,79,81,8.34,SB,1683667207
116,colonia,50.9333,6.95,56.97,91,75,9.22,DE,1683667207
117,bataipora,-22.2953,-53.2711,72.7,93,100,3.38,BR,1683667207
118,ilomantsi,62.6716,30.9328,42.17,75,56,5.53,FI,1683667038
119,fort bragg,35.139,-79.006,89.44,33,0,17.27,US,1683667208
120,yelizovo,53.1873,158.3805,41.14,60,0,4.47,RU,1683667208
121,ilulissat,69.2167,-51.1,27.55,84,35,6.76,GL,1683667208
122,nishinoomote,30.7333,131.0,64.38,74,20,4.59,JP,1683667208
123,ozherel'ye,54.7961,38.2672,38.91,67,15,4.25,RU,1683667209
124,sai buri,6.7013,101.6168,79.34,87,100,4.99,TH,1683667209
125,bula,13.4701,123.278,76.14,92,100,2.08,PH,1683667209
126,morant bay,17.8815,-76.4093,91.71,65,98,12.46,JM,1683667209
127,jamaame,0.0697,42.745,79.12,82,46,8.88,SO,1683667210
128,khovd,48.0056,91.6419,43.38,70,79,4.43,MN,1683667210
129,benguela,-12.5763,13.4055,78.24,86,2,4.09,AO,1683667210
130,usinsk,65.9939,57.5281,31.39,97,100,12.64,RU,1683667210
131,burutu,5.3509,5.5076,81.18,82,32,5.57,NG,1683667211
132,maturin,9.75,-63.1767,91.24,46,99,16.11,VE,1683667021
133,cill airne,52.05,-9.5167,51.76,91,100,9.44,IE,1683667211
134,ancud,-41.8697,-73.8203,54.77,90,76,3.13,CL,1683667123
135,sosnovo-ozerskoye,52.5249,111.5418,43.57,42,28,2.98,RU,1683667217
136,yellowknife,62.456,-114.3525,57.72,54,75,8.05,CA,1683667217
137,dryden,49.7833,-92.7503,61.09,63,100,9.22,CA,1683667217
138,minab,27.1467,57.0801,84.74,23,25,1.88,IR,1683667217
139,umm kaddadah,13.6017,26.6876,89.49,11,16,11.23,SD,1683667218
140,geraldton,-28.7667,114.6,63.01,94,40,4.61,AU,1683667218
